,Case Number,Date,Year,Type,Country,Area,Location,Activity,Fatal (Y/N),original order
2416,1990.04.06,06-Apr-90,1990,Unprovoked,AUSTRALIA,Queensland,Fingal Beach,Surfing,N,3578
2419,1990.03.05,05-Mar-90,1990,Unprovoked,REUNION,Sainte-Marie,Baie de la Mare,Surfing,N,3575
2423,1990.00.00,1990,1990,Unprovoked,USA,Florida,"Pensacola, Escambia County",Surfing,UNKNOWN,3571
2427,1989.11.22,22-Nov-89,1989,Unprovoked,AUSTRALIA,Victoria,Kilcunda,Surfing,N,3567
2432,1989.10.22,22-Oct-89,1989,Unprovoked,AUSTRALIA,Tasmania,Shelly Point ,Surfing,N,3562
2434,1989.10.11,11-Oct-89,1989,Unprovoked,USA,Texas,Surfside Beach,Surfing,N,3560
2436,1989.10.01,01-Oct-89,1989,Unprovoked,AUSTRALIA,Victoria,"Surfers Point, Phillip Island",Surfing,UNKNOWN,3558
2441,1989.09.09.a,09-Sep-89,1989,Unprovoked,USA,North Carolina,"Salvo, Dare County",Surfing,N,3553
2445,1989.08.22.a,22-Aug-89,1989,Unprovoked,SOUTH AFRICA,Western Cape Province,Mossel Bay,Surfing,N,3549
2446,1989.08.13,13-Aug-89,1989,Unprovoked,AUSTRALIA,New South Wales,Lennox Head,Surfing,N,3548
2450,1989.07.20,20-Jul-89,1989,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Jeffreys Bay,Surfing,N,3544
2451,1989.07.19,19-Jul-89,1989,Unprovoked,REUNION,Sainte-Suzanne,Temple Tamoule,Surfing,Y,3543
2452,1989.07.14,14-Jul-89,1989,Unprovoked,USA,Florida,"Cocoa Beach, Brevard County",Surfing,N,3542
2457,1989.06.05,05-Jun-89,1989,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Jeffreys Bay,Surfing,N,3537
2465,1989.03.09,09-Mar-89,1989,Unprovoked,AUSTRALIA,South Australia,"Waitpinga Beach, near Victor Harbor, Encounter Bay",Surfing,Y,3529
2483,1988.10.22,22-Oct-88,1988,Unprovoked,AUSTRALIA,Victoria,Phillip Island,Surfing,N,3511
2484,1988.10.14,14-Oct-88,1988,Unprovoked,USA,Florida,"Boca Raton, Palm Beach County",Surfing,N,3510
2485,1988.10.11,11-Oct-88,1988,Unprovoked,USA,Florida,"Fort Pierce, St. Lucie County ",Surfing,N,3509
2486,1988.10.10,10-Oct-88,1988,Unprovoked,USA,Florida,"Playalinda, Brevard County",Surfing,N,3508
2487,1988.10.06,06-Oct-88,1988,Unprovoked,AUSTRALIA,South Australia,Moama Beach,Surfing,N,3507
2489,1988.09.28,28-Sep-88,1988,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,N,3505
2495,1988.08.11,11-Aug-88,1988,Unprovoked,USA,California,"Klamath River, Del Norte County",Surfing,N,3499
2507,1988.06.01,01-Jun-88,1988,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Surfing,N,3487
2509,1988.05.10,10-May-88,1988,Unprovoked,USA,Florida,"Paradise Beach Park, Brevard County",Surfing,N,3485
2512,1988.04.24,24-Apr-88,1988,Unprovoked,USA,California,"North of Morro Rock, San Luis Obispo County",Surfing,N,3482
2515,1988.04.14.b,14-Apr-88,1988,Unprovoked,USA,Florida,"Singer Island, Riviera Beach, Palm Beach County",Surfing,N,3479
2520,1988.03.16,16-Mar-88,1988,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Isipingo,Surfing,N,3474
2521,1988.03.14,14-Mar-88,1988,Unprovoked,REUNION,Saint-Pierre,Pic du Diable,Surfing,N,3473
2523,1988.02.14,14-Feb-88,1988,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Nahoon,Surfing,N,3471
2527,1988.01.27,27-Jan-88,1988,Invalid,SOUTH AFRICA,KwaZulu-Natal,Durban,Surfing,N,3467
2532,1988.00.00.c,1988,1988,Unprovoked,AUSTRALIA,New South Wales,Sydney,Surfing,N,3462
2534,1987.12.17,17-Dec-87,1987,Unprovoked,USA,Florida,"Palm Beach, Palm Beach County",Surfing,N,3460
2536,1987.11.21,21-Nov-87,1987,Unprovoked,USA,Florida,"North of Jupiter Inlet, Palm Beach County",Surfing,N,3458
2538,1987.10.26,26-Oct-87,1987,Unprovoked,USA,California,"Davenport Light, San Mateo County",Surfing,N,3456
2543,1987.09.13,13-Sep-87,1987,Unprovoked,SOUTH AFRICA,Western Cape Province,Still Bay,Surfing,N,3451
2546,1987.07.21,21-Jul-87,1987,Unprovoked,USA,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",Surfing,N,3448
2554,1987.05.08,08-May-87,1987,Unprovoked,USA,Florida,"St Augustine, St. Johns County",Surfing,N,3440
2560,1987.03.30.b,30-Mar-87,1987,Unprovoked,AUSTRALIA,Western Australia,Fourth Beach / Twilgth Beach,Surfing,N,3434
2570,1986.12.11,11-Dec-86,1986,Unprovoked,USA,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",Surfing,N,3424
2575,1986.11.30,30-Nov-86,1986,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Surfing,N,3419
2576,1986.11.19,19-Nov-86,1986,Unprovoked,USA,Florida,"Indiatlantic, Brevard County",Surfing,N,3418
2577,1986.11.04,04-Nov-86,1986,Unprovoked,USA,Florida,"Tiger Shores Beach, Martin County",Surfing,N,3417
2582,1986.10.00,Oct-86,1986,Unprovoked,USA,Florida,"Floridana Beach, Brevard County",Surfing,N,3412
2584,1986.09.00.b,Sep-86,1986,Unprovoked,USA,Florida,"Ormond Beach / Daytona Beach, Volusia County",Surfing,N,3410
2585,1986.09.00.a,Sep-86,1986,Unprovoked,USA,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",Surfing,N,3409
2586,1986.08.19,19-Aug-86,1986,Unprovoked,USA,North Carolina,"Masonboro Inlet, New Hanover County",Surfing,N,3408
2599,1986.03.05,05-Mar-86,1986,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"The Fence, King's Beach, Port Elizabeth",Surfing,N,3395
2600,1986.02.18,18-Feb-86,1986,Unprovoked,SOUTH AFRICA,Eastern Cape Province,East London,Surfing,N,3394
2601,1986.02.17,17-Feb-86,1986,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Cape Recife,Surfing,N,3393
2604,1986.02.01,01-Feb-86,1986,Unprovoked,AUSTRALIA,Victoria,Jan Juc Beach,Surfing,N,3390
2605,1986.01.12,12-Jan-86,1986,Unprovoked,USA,Florida,"Singer Island, Riviera Beach, Palm Beach County",Surfing,N,3389
2606,1986.00.00,1986,1986,Unprovoked,USA,California,"Linda Mar Beach, Pedro Point, San Mateo County",Surfing,N,3388
2607,1985.12.22,22-Dec-85,1985,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Garvies Beach,Surfing,N,3387
2625,1985.07.25.a,25-Jul-85,1985,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,N,3369
2631,1985.03.16,16-Mar-85,1985,Unprovoked,USA,Florida,"Palm Beach, Palm Beach County",Surfing,N,3363
2634,1985.02.03,03-Feb-85,1985,Unprovoked,USA,Florida,"15 miles north of Sebastian Inlet, Brevard County",Surfing,N,3360
2637,1985.01.17,17-Jan-85,1985,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Umbogintwini,Surfing,N,3357
2646,1984.11.11,11-Nov-84,1984,Unprovoked,USA,Florida,"Jupiter Island Beach, Martin County",Surfing,N,3348
2651,1984.10.14.a,14-Oct-84,1984,Unprovoked,USA,Florida,"Bob Graham Beach, Martin County",Surfing,N,3342
2654,1984.09.23,23-Sep-84,1984,Unprovoked,USA,Florida,Volusia County,Surfing,N,3339
2656,1984.09.22.a,22-Sep-84,1984,Unprovoked,USA,Florida,"Indiatlantic, Brevard County",Surfing,N,3337
2668,1984.06.15,15-Jun-84,1984,Unprovoked,SOUTH AFRICA,Western Cape Province,"Muizenberg, False Bay",Surfing,N,3325
2673,1984.03.14,14-Mar-84,1984,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Amanzimtoti,Surfing,N,3320
2683,1984.00.00.a,1984,1984,Unprovoked,USA,Florida,"Indiatlantic, Brevard County",Surfing,N,3310
2685,1983.12.25,25-Dec-83,1983,Unprovoked,USA,Florida,"Riviera Beach, Palm Beach County",Surfing,N,3308
2691,1983.11.10.R,Reported      10-Nov-1983,1983,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",Surfing,N,3302
2693,1983.10.17.a,17-Oct-83,1983,Unprovoked,USA,Florida,"Stuart Beach, Martin County",Surfing,N,3300
2696,1983.08.20.b,20-Aug-83,1983,Unprovoked,USA,Oregon,"Cape Kiwanda,Tillamook County",Surfing,N,3297
2705,1983.07.15,15-Jul-83,1983,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Seal Point, Cape St. Francis",Surfing,N,3288
2716,1983.05.24,24-May-83,1983,Unprovoked,USA,Florida," Riviera Beach, Palm Beach County",Surfing,N,3277
2717,1983.05.21,21-May-83,1983,Unprovoked,USA,Florida,"Haulover Inlet, Dade County",Surfing,N,3276
2718,1983.04.19,19-Apr-83,1983,Unprovoked,USA,Florida,,Surfing,UNKNOWN,3275
2720,1983.04.02.b,02-Apr-83,1983,Unprovoked,USA,Florida,"Lake Worth Beach, Palm Beach County",Surfing,N,3273
2723,1983.03.22,22-Mar-83,1983,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Nahoon,Surfing,N,3270
2724,1983.03.10,10-Mar-83,1983,Unprovoked,USA,Florida,"Juno Beach, Palm Beach County",Surfing,N,3269
2736,1982.09.30.b,30-Sep-82,1982,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Nahoon, East London",Surfing,N,3257
2737,1982.09.30.a,30-Sep-82,1982,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Nahoon, East London",Surfing,N,3256
2738,1982.09.27,27-Sep-82,1982,Unprovoked,USA,Florida,"Patrick Air Force Base, Brevard County",Surfing,N,3255
2743,1982.08.29.b,29-Aug-82,1982,Invalid,USA,California,"Morro Rock, Morro Bay, San Obispo County",Surfing,N,3250
2753,1982.06.29,29-Jun-82,1982,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Ntlonyana Bay,Surfing,Y,3240
2759,1982.03.10,10-Mar-82,1982,Unprovoked,USA,Florida,"Palm Beach, Palm Beach County",Surfing,N,3234
2760,1982.03.07,07-Mar-82,1982,Unprovoked,AUSTRALIA,New South Wales,"Tallow Beach, Byron Bay",Surfing,Y,3233
2763,1982.02.27,27-Feb-82,1982,Unprovoked,USA,Florida,"Hobe Sound, Palm Beach County",Surfing,N,3230
2774,1981.12.19,19-Dec-81,1981,Unprovoked,USA,California,"South Moss Beach, Spanish Bay, Monterey Peninsula",Surfing,Y,3219
2781,1981.10.17,17-Oct-81,1981,Unprovoked,USA,Florida,"Palm Beach, Palm Beach County",Surfing,UNKNOWN,3212
2782,1981.10.16,16-Oct-81,1981,Unprovoked,USA,Florida,"Cocoa Beach, Brevard County",Surfing,N,3211
2783,1981.10.01,01-Oct-81,1981,Unprovoked,USA,Florida,"Playalinda Beach, Brevard County",Surfing,N,3210
2784,1981.09.28,28-Sep-81,1981,Unprovoked,USA,Florida,"Cocoa Beach, Brevard County",Surfing,N,3209
2785,1981.09.27,27-Sep-81,1981,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",Surfing,N,3208
2787,1981.09.03.b,03-Sep-81,1981,Unprovoked,USA,Florida,"Patrick Air Force Base, Brevard County",Surfing,N,3206
2788,1981.09.03.a,03-Sep-81,1981,Unprovoked,USA,Florida,"Cocoa Beach, Brevard County",Surfing,N,3205
2789,1981.08.29,29-Aug-81,1981,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,N,3204
2796,1981.07.18,18-Jul-81,1981,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Nahoon,Surfing,N,3197
2803,1981.05.20,20-May-81,1981,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Nahoon,Surfing,N,3190
2806,1981.05.10,10-May-81,1981,Unprovoked,SOUTH AFRICA,Eastern Cape Province,King�s Beach,Surfing,N,3187
2809,1981.05.05,05-May-81,1981,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Ntlonyane Bay,Surfing,N,3184
2811,1981.03.24,24-Mar-81,1981,Unprovoked,USA,Florida,"Singer Island, Riviera Beach, Palm Beach County",Surfing,N,3182
2817,1981.02.02,02-Feb-81,1981,Unprovoked,USA,Florida,"Juno Beach, Palm Beach County",Surfing,N,3176
2829,1980.10.27,27-Oct-80,1980,Unprovoked,USA,Oregon,Off Umpqua River,Surfing,N,3164
2830,1980.10.17,17-Oct-80,1980,Unprovoked,USA,California,"Moonstone Beach, Humboldt County",Surfing,N,3163
2837,1980.07.00,Late Jul-1980,1980,Unprovoked,USA,North Carolina,"Emerald Isle Pier (near Morehead City), Carteret County",Surfing,N,3156
2838,1980.07.00,Early Jul-1980,1980,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,N,3155
2840,1980.05.15,15-May-80,1980,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Fuller�s Bay,Surfing,N,3153
2855,1980.00.00.c,1980s ,1980,Invalid,GREECE,Island of Kos,,Surfing,N,3138
2861,1979.11.27,27-Nov-79,1979,Unprovoked,USA,Oregon,"Haystack Rock, Cannon Beach, Clatsop County",Surfing,N,3132
2877,1979.03.24,24-Mar-79,1979,Unprovoked,USA,Florida,"Singer Island, Riviera Beach, Palm Beach County",Surfing,N,3116
2885,1978.11.26,26-Nov-78,1978,Unprovoked,USA,Hawaii,"Ewa, O'ahu",Surfing,N,3108
2886,1978.11.23,23-Nov-78,1978,Unprovoked,USA,Florida,"Jupiter, Palm Beach County",Surfing,N,3107
2895,1978.06.21.b,21-Jun-78,1978,Unprovoked,USA,Florida,"South of Neptune Beach, Duval County",Surfing,N,3098
2896,1978.06.21.a,21-Jun-78,1978,Unprovoked,USA,Florida,"Neptune Beach, Duval County",Surfing,N,3097
2904,1978.01.17,07-Jan-78,1978,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Glenashley,Surfing,N,3089
2906,1978.00.00.b,1978,1978,Unprovoked,USA,Florida,"Cocoa Beach, Brevard County",Surfing,N,3087
2909,1977.12.19.b,19-Dec-77,1977,Unprovoked,USA,Florida,"Hobe Sound, Palm Beach County",Surfing,N,3084
2910,1977.12.19.a,19-Dec-77,1977,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Qolera River,Surfing,N,3083
2914,1977.08.31,31-Aug-77,1977,Unprovoked,AUSTRALIA,South Australia,"Cactus Beach, near Ceduna",Surfing,N,3079
2938,1976.11.25,25-Nov-76,1976,Unprovoked,USA,Florida,"Delray Beach, Palm Beach County",Surfing,N,3055
2942,1976.10.18,18-Oct-76,1976,Unprovoked,USA,California,"Moonstone Beach, Humboldt County",Surfing,N,3051
2943,1976.10.06,06-Oct-76,1976,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Cape St. Francis,Surfing,N,3050
2949,1976.09.06,06-Sep-76,1976,Unprovoked,USA,Florida,"Sebastian, Indian River County",Surfing,N,3044
2951,1976.08.24,24-Aug-76,1976,Unprovoked,USA,Oregon,Winchester Bay,Surfing,N,3042
2979,1975.11.02,02-Nov-75,1975,Unprovoked,USA,Florida,"Crescent Beach, St. Johns County",Surfing,N,3014
2981,1975.10.12,12-Oct-75,1975,Unprovoked,AUSTRALIA,New South Wales,"Lennox Head, Ballina",Surfing,N,3012
2982,1975.10.04,04-Oct-75,1975,Invalid,USA,California,"Seal Beach, Orange County",Surfing,UNKNOWN,3011
2984,1975.08.17,17-Aug-75,1975,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Cape St. Francis,Surfing,N,3009
2991,1975.07.26.a,26-Jul-75,1975,Unprovoked,AUSTRALIA,Queensland,Maroochydore,Surfing,N,3002
2996,1975.07.04,04-Jul-75,1975,Unprovoked,USA,Florida,"Indiatlantic, Brevard County",Surfing,N,2997
3000,1975.06.02.R,Reported 02-Jun-1975,1975,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Surfing,N,2993
3002,1975.05.25,25-May-75,1975,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,N,2991
3013,1975.02.23,23-Feb-75,1975,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,"Inyoni Rocks, Amanzimtoti",Surfing,N,2980
3019,1975.01.19,19-Jan-75,1975,Unprovoked,AUSTRALIA,South Australia,Coffin Bay,Surfing,Y,2974
3024,1974.09.28,28-Sep-74,1974,Unprovoked,USA,California,"North of Point Sur, Monterey County",Surfing,N,2969
3030,1974.09.00,Sep-74,1974,Unprovoked,USA,Oregon,Myers Creek,Surfing,N,2963
3036,1974.08.05,05-Aug-74,1974,Unprovoked,USA,California,"San Gregorio Beach, San Mateo County",Surfing,N,2957
3046,1974.04.04,04-Apr-74,1974,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,"Inyoni Rocks, Amanzimtoti",Surfing,N,2947
3047,1974.03.21,21-Mar-74,1974,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Amanzimtoti,Surfing,N,2946
3066,1973.11.24,24-Nov-73,1973,Unprovoked,USA,Florida,"Ormond By The Sea, Volusia County",Surfing,N,2927
3074,1973.08.25,25-Aug-73,1973,Unprovoked,AUSTRALIA,Queensland,"Point Lookout, Stradbroke Island",Surfing,N,2919
3083,1973.01.09,09-Jan-73,1973,Unprovoked,USA,Hawaii,"Ho'okipa Beach, Pa'ia, Maui",Surfing,N,2910
3086,1973.00.00.a,1973,1973,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Queensberry Bay,Surfing,N,2907
3095,1972.10.21,21-Oct-72,1972,Unprovoked,AUSTRALIA,New South Wales,Tabourie Beach,Surfing,N,2898
3097,1972.10.14.a,14-Oct-72,1972,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,N,2896
3099,1972.09.09,09-Sep-72,1972,Unprovoked,USA,California,"Point Sur, Monterey County",Surfing,N,2894
3101,1972.08.29,29-Aug-72,1972,Unprovoked,USA,Florida,"Crescent Beach, St. Johns County",Surfing,N,2892
3107,1972.06.10,10-Jun-72,1972,Unprovoked,USA,Florida,"Cocoa Beach, Brevard County",Surfing,N,2886
3115,1972.02.20,20-Feb-72,1972,Unprovoked,AUSTRALIA,Victoria,"Wilson's Promontory, Waratah Bay",Surfing,N,2878
3127,1971.10.23,23-Oct-71,1971,Unprovoked,USA,Florida,"Ft. Pierce, St Lucie County",Surfing,N,2866
3130,1971.09.25,25-Sep-71,1971,Unprovoked,USA,North Carolina,"Emerald Isle, Carteret County",Surfing,N,2863
3136,1971.06.30,30-Jun-71,1971,Unprovoked,SOUTH AFRICA,Western Cape Province,Mossel Bay,Surfing,N,2857
3140,1971.04.06,06-Apr-71,1971,Unprovoked,MEXICO,Guerrero,"Copacabana Beach, Acapulco",Surfing,Y,2853
3144,1971.03.30,30-Mar-71,1971,Unprovoked,NEW ZEALAND,South Island,Dunedin,Surfing,N,2849
3146,1971.00.00.c,1971,1971,Unprovoked,AUSTRALIA,South Australia,Southport,Surfing,N,2847
3155,1970.10.00,Oct-70,1970,Unprovoked,USA,Florida,"Matanzas Inlet, St Johns County",Surfing,N,2838
3198,1969.08.02,02-Aug-69,1969,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,N,2795
3209,1969.05.22,22-May-69,1969,Unprovoked,DOMINICAN REPUBLIC,,,Surfing,UNKNOWN,2784
3214,1969.03.09,09-Mar-69,1969,Unprovoked,USA,Hawaii,"Makaha, O'ahu",Surfing,N,2779
3222,1968.12.25,25-Dec-68,1968,Unprovoked,NEW ZEALAND,South Island,"St. Clair Beach, Dunedin",Surfing,N,2771
3231,1968.09.22,22-Sep-68,1968,Invalid,USA,Florida,"Riviera Beach, Palm Beach County",Surfing,UNKNOWN,2762
3254,1968.03.10,10-Mar-68,1968,Unprovoked,USA,Florida,"Jensen Beach, Martin County",Surfing,N,2739
3256,1968.02.26,26-Feb-68,1968,Unprovoked,USA,Florida,Palm Beach County,Surfing,N,2737
3265,1968.00.00.a,1968,1968,Invalid,USA,Florida,"Jensen Beach, Martin County",Surfing,UNKNOWN,2728
3266,1967.12.30,30-Dec-67,1967,Unprovoked,SOUTH AFRICA,Western Cape Province,Mossel Bay,Surfing,N,2727
3297,1967.07.00,Jul-67,1967,Invalid,USA,South Carolina,,Surfing,N,2696
3378,1965.11.03.a,03-Nov-65,1965,Unprovoked,AUSTRALIA,Queensland,Oak Beach,Surfing,N,2615
3403,1965.04.25,25-Apr-65,1965,Invalid,USA,California,"Pacifica, San Mateo County",Surfing,Y,2590
3417,1965.00.00.f,1965,1965,Provoked,USA,California,"Dana Point, San Clemente, Orange County",Surfing,N,2576
3462,1964.03.28.b,28-Mar-64,1964,Unprovoked,AUSTRALIA,South Australia,Surfers Paradise Beach near Victor Harbour,Surfing,N,2531
3514,1963.09.13,13-Sep-63,1963,Provoked,AUSTRALIA,New South Wales,Wanda Beach,Surfing,N,2479
3622,1962.01.14.a,14-Jan-62,1962,Unprovoked,AUSTRALIA,New South Wales,"Lennox Head, Ballina",Surfing,N,2371
3629,1962.01.07.a,07-Jan-62,1962,Unprovoked,AUSTRALIA,New South Wales,Sydney,Surfing,N,2364
3773,1960.04.12,12-Apr-60,1960,Unprovoked,AUSTRALIA,New South Wales,"Horseshoe Bay, near Kempsey",Surfing,N,2220
3975,1957.04.23,23-Apr-57,1957,Unprovoked,AUSTRALIA,New South Wales,"Merewether Beach, Newcastle",Surfing,N,2018
4058,1955.08.30.a,30-Aug-55,1955,Provoked,USA,California,"Zuma Beach, Santa Monica, Los Angeles County",Surfing,N,1935
4191,1952.01.07,07-Jan-52,1952,Unprovoked,AUSTRALIA,New South Wales,Evans Head,Surfing,N,1802
4292,1949.01.14,14-Jan-49,1949,Invalid,AUSTRALIA,New South Wales,Off North Bondi,Surfing,N,1701
4353,1947.04.06,06-Apr-47,1947,Unprovoked,AUSTRALIA,New South Wales,Palm Beach,Surfing,N,1640
4430,1944.01.14,14-Jan-44,1944,Unprovoked,AUSTRALIA,New South Wales,"First Beach, Forster",Surfing,N,1563
4660,1936.01.05,05-Jan-36,1936,Invalid,AUSTRALIA,Queensland,"Main Beach, Southport",Surfing,N,1333
4687,1935.03.11,11-Mar-35,1935,Unprovoked,AUSTRALIA,New South Wales,Newcastle,Surfing,N,1306
5004,1922.01.04,04-Jan-22,1922,Unprovoked,AUSTRALIA,New South Wales,"Stockton Beach, Newcastle",Surfing,Y,989
5048,1918.03.22,22-Mar-18,1918,Unprovoked,AUSTRALIA,New South Wales,Newcastle,Surfing,N,945
5808,1828.00.00,1828,1828,Unprovoked,USA,Hawaii,"Uo, Lahaina, Maui",Surfing,Y,185
5837,1779.00.00,1779,1779,Unprovoked,USA,Hawaii,"Maliu, Hawai'i",Surfing,Y,156
5891,ND-0122,Beforer 1994,0,Unprovoked,USA,Florida,"Lost Tree Village, Palm Beach County",Surfing,N,102
